| THETA | 0.719 | GO    | 644.9  | 661.7    | 232.1   | 227.7    | 4.334 | 451.0 | -0.123| 13.00 | 0.000 | -3.172| 118.2  | 128.0 |
| THETA | 0.730 | GO    | 654.8  | 659.0    | 239.2   | 235.0    | 4.234 | 455.3 | -0.100| 12.70 | 0.000 | -2.581| 120.0  | 130.1 |
| THETA | 0.741 | GO    | 664.7  | 673.3    | 246.5   | 242.4    | 4.083 | 459.4 | -0.150| 12.25 | 0.000 | -3.843| 121.8  | 130.2 |
| THETA | 0.752 | GO    | 674.5  | 680.9    | 253.9   | 249.9    | 3.959 | 463.3 | -0.124| 11.87 | 0.000 | -3.189| 123.6  | 132.3 |
| THETA | 0.759 | GO    | 674.4  | 682.2    | 258.1   | 254.2    | 3.919 | 467.2 | -0.039| 11.75 | 0.000 | -1.021| 123.6  | 134.3 |
| THETA | 0.770 | GO    | 664.4  | 688.8    | 265.6   | 261.9    | 3.703 | 470.9 | -0.215| 11.11 | 0.000 | -5.514| 121.8  | 127.4 |
| THETA | 0.781 | GO    | 654.4  | 696.9    | 272.9   | 269.6    | 3.286 | 474.2 | -0.417| 9.860 | 0.000 | -10.67| 120.0  | 119.1 |
| THETA | 0.792 | GO    | 644.5  | 705.9    | 280.1   | 277.5    | 2.658 | 476.9 | -0.628| 7.974 | 0.000 | -16.09| 118.1  | 110.0 |
| THETA | 0.798 | GO    | 638.7  | 708.5    | 284.3   | 282.0    | 2.230 | 479.1 | -0.428| 6.690 | 0.000 | -10.96| 117.1  | 112.8 |
| THETA | 0.810 | GO    | 628.8  | 708.8    | 291.3   | 289.9    | 1.396 | 480.5 | -0.833| 4.190 | 0.000 | -21.32| 115.2  | 98.16 |
| THETA | 0.821 | GO    | 618.8  | 700.1    | 298.2   | 297.7    | 0.546 | 481.1 | -0.849| 1.640 | 0.000 | -21.75| 113.4  | 93.35 |
| THETA | 0.832 | GO    | 608.8  | 689.4    | 305.1   | 305.4    | -0.294| 480.8 | -0.841| -0.883| 0.000 | -21.54| 111.6  | 89.21 |
| THETA | 0.838 | GO    | 603.1  | 683.1    | 309.0   | 309.7    | -0.788| 480.0 | -0.493| -2.365| 0.000 | -12.64| 110.5  | 95.57 |
| THETA | 0.849 | GO    | 593.1  | 675.2    | 315.6   | 317.2    | -1.644| 478.3 | -0.856| -4.934| 0.000 | -21.92| 108.7  | 81.90 |
| THETA | 0.860 | GO    | 583.2  | 665.1    | 322.1   | 324.6    | -2.502| 475.8 | -0.857| -7.507| 0.000 | -21.95| 106.9  | 77.47 |
| THETA | 0.872 | GO    | 573.2  | 650.3    | 328.6   | 331.9    | -3.306| 472.5 | -0.803| -9.918| 0.000 | -20.57| 105.1  | 74.60 |
| THETA | 0.883 | GO    | 563.2  | 639.5    | 334.9   | 339.0    | -4.098| 468.4 | -0.792| -12.29| 0.000 | -20.27| 103.2  | 70.71 |
| THETA | 0.889 | GO    | 557.5  | 625.9    | 338.5   | 343.0    | -4.520| 463.9 | -0.421| -13.56| 0.000 | -10.79| 102.2  | 77.86 |
| THETA | 0.900 | GO    | 547.5  | 616.5    | 344.6   | 349.9    | -5.231| 458.7 | -0.710| -15.69| 0.000 | -18.20| 100.4  | 66.50 |
| THETA | 0.911 | GO    | 537.5  | 602.3    | 350.7   | 356.6    | -5.896| 452.8 | -0.665| -17.69| 0.000 | -17.04| 98.57  | 63.83 |
